timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp;token
2023-09-14T00:00:00.000Z;2023-09-14T23:59:59.999Z;2023-09-14T14:58:00.000Z;2023-09-14T00:10:00.000Z;0.00267188368423;0.00276022167519;0.00266825511911;0.00272182650993;1321803.9;114864039.35;2023-09-14T23:59:59.999Z;Nervos Network
2023-09-13T00:00:00.000Z;2023-09-13T23:59:59.999Z;2023-09-13T22:31:00.000Z;2023-09-13T05:51:00.000Z;0.00262825540828;0.00268388768205;0.00260903225246;0.00267258964885;1073673.8;112754226.76;2023-09-13T23:59:59.999Z;Nervos Network
2023-09-12T00:00:00.000Z;2023-09-12T23:59:59.999Z;2023-09-12T10:26:00.000Z;2023-09-12T02:25:00.000Z;0.00261573058665;0.00267808763734;0.00260157450068;0.00262741116515;1004335.48;110817008.94;2023-09-12T23:59:59.999Z;Nervos Network
2023-09-11T00:00:00.000Z;2023-09-11T23:59:59.999Z;2023-09-11T07:10:00.000Z;2023-09-11T19:56:00.000Z;0.00273002243343;0.00275828233933;0.00260180299191;0.00261556836711;1309501.38;110286587.0;2023-09-11T23:59:59.999Z;Nervos Network
2023-09-10T00:00:00.000Z;2023-09-10T23:59:59.999Z;2023-09-10T00:02:00.000Z;2023-09-10T17:15:00.000Z;0.0028339018638;0.00283394359375;0.00268270174256;0.00272992815237;1594375.86;115076112.26;2023-09-10T23:59:59.999Z;Nervos Network
2023-09-09T00:00:00.000Z;2023-09-09T23:59:59.999Z;2023-09-09T16:58:00.000Z;2023-09-09T00:59:00.000Z;0.00278371571688;0.00288577270171;0.00277313823327;0.00283357630474;1799523.52;119411775.78;2023-09-09T23:59:59.999Z;Nervos Network
2023-09-08T00:00:00.000Z;2023-09-08T23:59:59.999Z;2023-09-08T00:44:00.000Z;2023-09-08T17:34:00.000Z;0.00280667915815;0.00282200253497;0.00273395708437;0.00278351222026;1147419.54;117269061.03;2023-09-08T23:59:59.999Z;Nervos Network
2023-09-07T00:00:00.000Z;2023-09-07T23:59:59.999Z;2023-09-07T21:22:00.000Z;2023-09-07T12:03:00.000Z;0.00276823354204;0.00281649715108;0.0026975803278;0.00280579682528;1185808.58;118173894.24;2023-09-07T23:59:59.999Z;Nervos Network
2023-09-06T00:00:00.000Z;2023-09-06T23:59:59.999Z;2023-09-06T03:10:00.000Z;2023-09-06T17:25:00.000Z;0.00276290718022;0.00278936779024;0.00273393038905;0.00276723315139;1186992.0;116517019.56;2023-09-06T23:59:59.999Z;Nervos Network
2023-09-05T00:00:00.000Z;2023-09-05T23:59:59.999Z;2023-09-05T16:13:00.000Z;2023-09-05T03:25:00.000Z;0.00267091620903;0.00277476282699;0.00264836425454;0.00276264745011;1201561.82;116290741.94;2023-09-05T23:59:59.999Z;Nervos Network
2023-09-04T00:00:00.000Z;2023-09-04T23:59:59.999Z;2023-09-04T04:45:00.000Z;2023-09-04T22:02:00.000Z;0.00266128805708;0.00272265501014;0.0026387932918;0.00267069155218;899469.7;112388112.77;2023-09-04T23:59:59.999Z;Nervos Network
2023-09-03T00:00:00.000Z;2023-09-03T23:59:59.999Z;2023-09-03T00:02:00.000Z;2023-09-03T17:43:00.000Z;0.00273128989735;0.00273184179125;0.00265287330062;0.00266134199909;852341.33;111963328.54;2023-09-03T23:59:59.999Z;Nervos Network
2023-09-02T00:00:00.000Z;2023-09-02T23:59:59.999Z;2023-09-02T23:56:00.000Z;2023-09-02T00:56:00.000Z;0.00261729357132;0.00273235021683;0.00261353754665;0.00273113541196;1060924.65;114866223.27;2023-09-02T23:59:59.999Z;Nervos Network
2023-09-01T00:00:00.000Z;2023-09-01T23:59:59.999Z;2023-09-01T12:25:00.000Z;2023-09-01T17:43:00.000Z;0.00263592959382;0.00265992964189;0.00258497557866;0.00261715578775;981607.26;110041367.27;2023-09-01T23:59:59.999Z;Nervos Network
2023-08-31T00:00:00.000Z;2023-08-31T23:59:59.999Z;2023-08-31T05:39:00.000Z;2023-08-31T17:03:00.000Z;0.00275386425934;0.00276199581424;0.00261441539938;0.00263641113264;1366090.37;110819693.06;2023-08-31T23:59:59.999Z;Nervos Network
2023-08-30T00:00:00.000Z;2023-08-30T23:59:59.999Z;2023-08-30T00:16:00.000Z;2023-08-30T22:39:00.000Z;0.00280887138046;0.00281371805592;0.00274072676806;0.00275388715605;1222364.06;115724703.18;2023-08-30T23:59:59.999Z;Nervos Network
2023-08-29T00:00:00.000Z;2023-08-29T23:59:59.999Z;2023-08-29T18:16:00.000Z;2023-08-29T10:40:00.000Z;0.00269204891069;0.00282983849886;0.00262377952399;0.00280881778227;1643903.96;117999718.06;2023-08-29T23:59:59.999Z;Nervos Network
2023-08-28T00:00:00.000Z;2023-08-28T23:59:59.999Z;2023-08-28T00:00:00.000Z;2023-08-28T09:20:00.000Z;0.00272708348717;0.00272708348717;0.00265848928925;0.00269250988158;1300822.75;113081442.17;2023-08-28T23:59:59.999Z;Nervos Network
2023-08-27T00:00:00.000Z;2023-08-27T23:59:59.999Z;2023-08-27T08:28:00.000Z;2023-08-27T02:56:00.000Z;0.0026810468996;0.00273197338086;0.00266704242714;0.00272738849341;1061102.32;114513563.69;2023-08-27T23:59:59.999Z;Nervos Network
2023-08-26T00:00:00.000Z;2023-08-26T23:59:59.999Z;2023-08-26T03:28:00.000Z;2023-08-26T18:38:00.000Z;0.00272106442438;0.00274569863014;0.00266080169858;0.00268108561377;1033153.22;112537872.87;2023-08-26T23:59:59.999Z;Nervos Network
2023-08-25T00:00:00.000Z;2023-08-25T23:59:59.999Z;2023-08-25T00:25:00.000Z;2023-08-25T15:04:00.000Z;0.00275354876142;0.00275829631552;0.00270491196057;0.00272094011986;1195930.34;114178600.52;2023-08-25T23:59:59.999Z;Nervos Network
2023-08-24T00:00:00.000Z;2023-08-24T23:59:59.999Z;2023-08-24T11:25:00.000Z;2023-08-24T20:58:00.000Z;0.00279810256749;0.00283167680719;0.00273731844963;0.00275364547527;1563942.84;115518199.57;2023-08-24T23:59:59.999Z;Nervos Network
2023-08-23T00:00:00.000Z;2023-08-23T23:59:59.999Z;2023-08-23T20:28:00.000Z;2023-08-23T00:00:00.000Z;0.00264042632272;0.00282133440457;0.00264042632272;0.00279829959562;1621776.87;117358252.82;2023-08-23T23:59:59.999Z;Nervos Network
2023-08-22T00:00:00.000Z;2023-08-22T23:59:59.999Z;2023-08-22T02:27:00.000Z;2023-08-22T21:31:00.000Z;0.00269840221865;0.0027080206465;0.0025781978685;0.00264050419851;1616076.91;110709030.03;2023-08-22T23:59:59.999Z;Nervos Network
2023-08-21T00:00:00.000Z;2023-08-21T23:59:59.999Z;2023-08-21T00:01:00.000Z;2023-08-21T10:41:00.000Z;0.00272826535742;0.00272904334185;0.00264869061472;0.00269806419955;1788599.74;113090427.65;2023-08-21T23:59:59.999Z;Nervos Network
2023-08-20T00:00:00.000Z;2023-08-20T23:59:59.999Z;2023-08-20T00:25:00.000Z;2023-08-20T23:28:00.000Z;0.00279699145723;0.00282114450401;0.00271841516219;0.00272825549415;1294766.23;114323407.17;2023-08-20T23:59:59.999Z;Nervos Network
2023-08-19T00:00:00.000Z;2023-08-19T23:59:59.999Z;2023-08-19T16:59:00.000Z;2023-08-19T12:25:00.000Z;0.00276953359228;0.00281100865261;0.00274463933813;0.00279636788641;1418717.36;117144063.03;2023-08-19T23:59:59.999Z;Nervos Network
2023-08-18T00:00:00.000Z;2023-08-18T23:59:59.999Z;2023-08-18T23:12:00.000Z;2023-08-18T04:52:00.000Z;0.00268753425252;0.00277574816504;0.00265026630509;0.00276939862973;2320895.82;115981395.09;2023-08-18T23:59:59.999Z;Nervos Network
2023-08-17T00:00:00.000Z;2023-08-17T23:59:59.999Z;2023-08-17T11:25:00.000Z;2023-08-17T21:48:00.000Z;0.00291292554781;0.00297846613432;0.002560562167;0.00268719518823;3640090.58;112506738.71;2023-08-17T23:59:59.999Z;Nervos Network
2023-08-16T00:00:00.000Z;2023-08-16T23:59:59.999Z;2023-08-16T07:49:00.000Z;2023-08-16T22:50:00.000Z;0.00306237622619;0.00310632494763;0.00287746413434;0.0029129340753;3331142.99;121923472.85;2023-08-16T23:59:59.999Z;Nervos Network
