fecha,hora,portafolio,token,symbol,precio,1h,24h,7d,tendencia_7d,market_cap,volumen_usd,tokens_movidos,suministro_circulante
11/05/2025,22:58:52,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,EOS,EOS,"0,9200 US$",-0.59,-1.07,29.78,positivo,"$1,439,446,418","$190,806,475",207.39M EOS,1.56B EOS
11/05/2025,22:58:52,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,Axelar,AXL,"0,4227 US$",0.1,-3.56,19.21,positivo,"$408,010,545","$15,464,703",36.58M AXL,965.16M AXL
11/05/2025,22:58:53,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,Babylon,BABY,"0,09653 US$",-1.68,1.65,8.72,positivo,"$221,445,071","$83,947,101",869.64M BABY,2.29B BABY
11/05/2025,22:58:53,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,SKALE,SKL,"0,02755 US$",0.99,0.04,29.28,positivo,"$162,118,321","$21,604,825",784.08M SKL,5.88B SKL
11/05/2025,22:58:53,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,Mythos,MYTH,"0,1383 US$",-0.34,-4.35,-9.51,negativo,"$117,936,744","$702,932",5.08M MYTH,852.31M MYTH
11/05/2025,22:58:53,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,WAX,WAXP,"0,02660 US$",0.11,-1.48,15.3,positivo,"$116,554,725","$5,964,445",224.17M WAXP,4.38B WAXP
11/05/2025,22:58:53,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,Artificial Liquid Intelligence,ALI,"0,006338 US$",-0.25,1.89,5.18,positivo,"$51,910,130","$1,608,969",253.84M ALI,8.18B ALI
11/05/2025,22:58:53,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,Hashflow,HFT,"0,08355 US$",-0.07,-5.01,35.94,positivo,"$47,641,977","$24,249,948",290.21M HFT,570.16M HFT
11/05/2025,22:58:53,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,Kin,KIN,"0,052076 US$",-0.38,-2.89,-8.03,negativo,"$5,725,810","$244,014",117.53B KIN,2.75T KIN
11/05/2025,22:58:54,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,Gari Network,GARI,"0,003586 US$",-3.2,10.49,45.58,positivo,"$2,013,869","$747,288",208.36M GARI,561.53M GARI
11/05/2025,22:58:54,Principales Tokens Galaxy Digital Portfolio por Capitalización de Mercado,Axelar,WAXL,--,,,,desconocido,--,--,,--
11/05/2025,22:58:55,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Solana,SOL,"174,69 US$",0.56,-0.68,20.41,positivo,"$90,723,028,784","$3,461,252,280",19.89M SOL,519.32M SOL
11/05/2025,22:58:55,Principales Tokens OKX Ventures Portfolio por Capitalización de Mercado,Ethena,ENA,"0,4160 US$",-0.63,-1.05,44.05,positivo,"$2,414,680,595","$315,529,145",758.42M ENA,5.82B ENA
